X,Y,Z,azimuth,dip,polarity,formation
555.03,60.95,9.35,271,34,1,ground3
319.43,-173.58,44.42,99,3,1,ground3
161.66,-88.87,60.81,274,27,1,ground3
549.29,-267.27,12.47,273,23,1,ground3
188.84,-335.13,167.77,90,69,1,fault1
188.82,-352.55,167.71,90,69,1,fault1
243.11,-29.30,308.41,90,69,1,fault1
277.58,-26.30,397.75,90,69,1,fault1
146.20,-54.73,57.27,90,69,1,fault1
127.24,-84.43,8.15,90,69,1,fault1
295.82,37.42,445.01,90,69,1,fault1
197.74,-65.32,190.84,90,69,1,fault1
215.43,-221.80,236.68,90,69,1,fault1
189.06,-230.35,168.35,90,69,1,fault1
204.98,-274.44,209.59,90,69,1,fault1
139.08,-328.45,38.83,90,69,1,fault1
283.75,-114.92,413.72,90,69,1,fault1
174.45,-163.55,130.48,90,69,1,fault1
168.44,-69.43,114.91,90,69,1,fault1
129.46,-338.32,13.90,90,69,1,fault1
177.84,-148.18,139.27,90,69,1,fault1
312.21,-363.38,487.49,90,69,1,fault1
149.34,-250.78,65.41,90,69,1,fault1
209.85,-62.64,222.21,90,69,1,fault1
149.07,-159.89,64.70,90,69,1,fault1
167.18,-334.23,111.65,90,69,1,fault1
259.21,15.19,350.13,90,69,1,fault1
215.71,-274.47,237.41,90,69,1,fault1
278.00,-268.15,398.84,90,69,1,fault1
258.55,-114.52,348.42,90,69,1,fault1
311.87,-39.26,486.61,90,69,1,fault1
286.12,75.99,419.86,90,69,1,fault1
204.94,67.78,209.50,90,69,1,fault1
158.69,-27.41,89.64,90,69,1,fault1
302.55,-84.55,462.45,90,69,1,fault1
193.54,-204.29,179.96,90,69,1,fault1
172.62,-361.14,125.74,90,69,1,fault1
177.88,-115.44,139.38,90,69,1,fault1
287.10,-281.92,422.41,90,69,1,fault1
268.22,-69.10,373.47,90,69,1,fault1
204.83,-120.74,209.21,90,69,1,fault1
247.91,-273.77,320.85,90,69,1,fault1
264.74,-114.59,364.46,90,69,1,fault1
305.69,-129.63,470.59,90,69,1,fault1
165.43,-26.34,107.11,90,69,1,fault1
296.32,-144.81,446.30,90,69,1,fault1
137.03,21.55,33.51,90,69,1,fault1
187.86,-166.67,165.23,90,69,1,fault1
232.02,-10.99,279.68,90,69,1,fault1
231.93,-352.65,279.43,90,69,1,fault1
293.26,-189.98,438.38,90,69,1,fault1
286.08,-334.09,419.75,90,69,1,fault1
198.93,-10.36,193.91,90,69,1,fault1
183.42,-361.25,153.72,90,69,1,fault1
127.30,-24.25,8.29,90,69,1,fault1
130.35,-159.62,16.19,90,69,1,fault1
215.74,67.71,237.47,90,69,1,fault1
221.12,-300.58,251.43,90,69,1,fault1
226.04,-203.40,264.18,90,69,1,fault1
134.86,-340.21,27.88,90,69,1,fault1
204.91,50.48,209.41,90,69,1,fault1
164.37,-268.50,104.36,90,69,1,fault1
215.71,50.38,237.41,90,69,1,fault1
248.66,-38.05,322.80,90,69,1,fault1
291.36,102.11,433.44,90,69,1,fault1
149.87,20.89,66.79,90,69,1,fault1
231.92,-335.30,279.40,90,69,1,fault1
278.25,-205.06,399.46,90,69,1,fault1
188.54,-7.97,167.00,90,69,1,fault1
307.44,81.21,475.12,90,69,1,fault1
145.04,75.49,54.25,90,69,1,fault1
253.26,-282.33,334.72,90,69,1,fault1
177.84,24.68,139.26,90,69,1,fault1
139.10,69.51,38.87,90,69,1,fault1
286.89,-129.99,421.87,90,69,1,fault1
194.13,50.64,181.48,90,69,1,fault1
257.85,-81.81,346.61,90,69,1,fault1
134.83,81.36,27.81,90,69,1,fault1
224.84,-147.38,261.05,90,69,1,fault1
258.99,67.53,349.57,90,69,1,fault1
315.26,66.01,495.38,90,69,1,fault1
214.27,-105.42,233.67,90,69,1,fault1
312.18,104.27,487.40,90,69,1,fault1
210.35,-283.19,223.52,90,69,1,fault1
194.27,-256.71,181.84,90,69,1,fault1
210.19,-78.56,223.09,90,69,1,fault1
276.03,-10.47,393.71,90,69,1,fault1
242.73,93.66,307.43,90,69,1,fault1
210.37,-352.65,223.56,90,69,1,fault1
248.00,-162.65,321.07,90,69,1,fault1
149.17,-129.84,64.98,90,69,1,fault1
150.11,-9.49,67.39,90,69,1,fault1
302.28,-24.16,461.75,90,69,1,fault1
167.94,-250.92,113.60,90,69,1,fault1
231.86,-283.06,279.25,90,69,1,fault1
226.54,102.33,265.47,90,69,1,fault1
268.87,-194.89,375.16,90,69,1,fault1
237.29,-326.57,293.34,90,69,1,fault1
302.08,6.35,461.22,90,69,1,fault1
183.36,67.79,153.57,90,69,1,fault1
169.01,-39.04,116.39,90,69,1,fault1
232.05,-28.70,279.75,90,69,1,fault1
194.25,-309.06,181.80,90,69,1,fault1
158.57,-145.35,89.32,90,69,1,fault1
147.10,6.29,59.59,90,69,1,fault1
255.00,-200.34,339.23,90,69,1,fault1
237.67,-38.17,294.31,90,69,1,fault1
302.58,-204.96,462.52,90,69,1,fault1
242.81,24.11,307.63,90,69,1,fault1
230.19,-138.42,274.92,90,69,1,fault1
184.25,-217.80,155.87,90,69,1,fault1
178.49,-282.20,140.95,90,69,1,fault1
210.37,-300.58,223.56,90,69,1,fault1
286.90,-99.76,421.89,90,69,1,fault1
161.81,-361.04,97.72,90,69,1,fault1
221.01,-248.14,251.13,90,69,1,fault1
231.73,-230.24,278.93,90,69,1,fault1
135.51,-355.14,29.57,90,69,1,fault1
240.52,-138.99,301.70,90,69,1,fault1
275.10,-190.95,391.30,90,69,1,fault1
220.99,-28.01,251.09,90,69,1,fault1
265.02,-181.78,365.19,90,69,1,fault1
306.79,96.14,473.43,90,69,1,fault1
155.34,-281.75,80.95,90,69,1,fault1
215.41,-53.71,236.62,90,69,1,fault1
127.33,5.91,8.37,90,69,1,fault1
243.36,-193.95,309.06,90,69,1,fault1
203.01,-152.09,204.50,90,69,1,fault1
140.46,38.03,42.40,90,69,1,fault1
130.40,-69.42,16.33,90,69,1,fault1
191.10,-55.84,173.63,90,69,1,fault1
136.70,-250.28,32.64,90,69,1,fault1
312.87,-338.47,489.18,90,69,1,fault1
293.17,-99.72,438.13,90,69,1,fault1
231.94,93.66,279.46,90,69,1,fault1
311.73,21.31,486.22,90,69,1,fault1
167.38,-297.89,112.16,90,69,1,fault1
305.59,-280.87,470.32,90,69,1,fault1
258.45,-254.72,348.17,90,69,1,fault1
163.87,-204.90,103.07,90,69,1,fault1
246.17,-144.52,316.34,90,69,1,fault1
194.14,-132.72,181.50,90,69,1,fault1
178.53,-223.91,141.06,90,69,1,fault1
136.75,-280.72,32.79,90,69,1,fault1
242.78,41.56,307.55,90,69,1,fault1
264.81,-83.62,364.63,90,69,1,fault1
226.54,-361.33,265.47,90,69,1,fault1
149.01,-189.93,64.55,90,69,1,fault1
127.24,-234.81,8.14,90,69,1,fault1
146.46,37.33,57.94,90,69,1,fault1
305.34,-8.93,469.68,90,69,1,fault1
156.29,93.34,83.41,90,69,1,fault1
145.56,93.95,55.62,90,69,1,fault1
296.30,-84.64,446.24,90,69,1,fault1
149.24,-99.72,65.15,90,69,1,fault1
305.68,-220.02,470.56,90,69,1,fault1
130.25,-310.33,15.95,90,69,1,fault1
302.53,-235.31,462.39,90,69,1,fault1
221.14,76.35,251.48,90,69,1,fault1
183.34,50.59,153.52,90,69,1,fault1
296.05,-24.61,445.60,90,69,1,fault1
297.27,-334.33,448.75,90,69,1,fault1
252.90,-229.99,333.79,90,69,1,fault1
130.12,-363.27,15.60,90,69,1,fault1
204.40,-204.31,208.08,90,69,1,fault1
283.79,-84.78,413.83,90,69,1,fault1
277.69,-176.38,398.02,90,69,1,fault1
215.47,-87.41,236.77,90,69,1,fault1
167.15,93.56,111.57,90,69,1,fault1
283.78,-145.30,413.79,90,69,1,fault1
275.14,-334.21,391.40,90,69,1,fault1
292.29,-9.30,435.85,90,69,1,fault1
127.23,-144.56,8.10,90,69,1,fault1
183.62,-255.02,154.25,90,69,1,fault1
156.31,-352.02,83.48,90,69,1,fault1
130.09,104.38,15.51,90,69,1,fault1
283.79,-55.21,413.82,90,69,1,fault1
286.83,-251.26,421.71,90,69,1,fault1
253.72,-10.66,335.91,90,69,1,fault1
236.39,-167.32,290.99,90,69,1,fault1
188.77,76.46,167.59,90,69,1,fault1
280.50,-361.03,405.29,90,69,1,fault1
315.06,-234.84,494.87,90,69,1,fault1
204.98,-361.32,209.59,90,69,1,fault1
127.35,36.19,8.42,90,69,1,fault1
199.56,76.46,195.54,90,69,1,fault1
296.16,-296.24,445.89,90,69,1,fault1
291.96,-324.54,435.01,90,69,1,fault1
281.60,15.01,408.14,90,69,1,fault1
293.23,-159.92,438.29,90,69,1,fault1
168.16,-100.00,114.19,90,69,1,fault1
268.70,-254.43,374.73,90,69,1,fault1
178.34,-299.98,140.55,90,69,1,fault1
140.28,-361.87,41.92,90,69,1,fault1
199.44,-230.74,195.24,90,69,1,fault1
197.75,-117.31,190.86,90,69,1,fault1
221.10,-283.15,251.37,90,69,1,fault1
293.17,-129.82,438.14,90,69,1,fault1
215.76,-361.33,237.53,90,69,1,fault1
221.04,-10.58,251.20,90,69,1,fault1
220.96,-62.67,251.00,90,69,1,fault1
285.99,-352.01,419.54,90,69,1,fault1
185.19,-64.05,158.32,90,69,1,fault1
255.57,-130.47,340.69,90,69,1,fault1
237.27,-309.17,293.28,90,69,1,fault1
136.70,-69.49,32.65,90,69,1,fault1
178.07,-334.85,139.85,90,69,1,fault1
302.02,102.87,461.08,90,69,1,fault1
221.10,24.29,251.38,90,69,1,fault1
257.98,-183.71,346.94,90,69,1,fault1
194.23,-326.50,181.75,90,69,1,fault1
146.00,-144.80,56.75,90,69,1,fault1
149.10,-220.23,64.78,90,69,1,fault1
253.48,-352.54,335.29,90,69,1,fault1
198.35,-194.88,192.41,90,69,1,fault1
177.27,-181.93,137.78,90,69,1,fault1
137.00,-9.02,33.42,90,69,1,fault1
237.32,-361.32,293.40,90,69,1,fault1
286.02,93.38,419.61,90,69,1,fault1
184.34,-115.04,156.12,90,69,1,fault1
264.28,-352.38,363.28,90,69,1,fault1
177.98,93.65,139.63,90,69,1,fault1
199.58,-248.32,195.60,90,69,1,fault1
249.90,-129.96,326.00,90,69,1,fault1
166.81,23.78,110.68,90,69,1,fault1
274.47,-219.14,389.69,90,69,1,fault1
263.97,-299.94,362.47,90,69,1,fault1
158.49,-235.91,89.12,90,69,1,fault1
277.63,-55.07,397.87,90,69,1,fault1
293.11,-39.97,437.99,90,69,1,fault1
248.05,-326.45,321.22,90,69,1,fault1
315.06,-54.35,494.86,90,69,1,fault1
218.67,-136.24,245.06,90,69,1,fault1
165.05,-84.81,106.11,90,69,1,fault1
204.99,-309.23,209.63,90,69,1,fault1
150.96,-360.98,69.59,90,69,1,fault1
155.67,-69.81,81.80,90,69,1,fault1
130.53,-9.09,16.66,90,69,1,fault1
139.82,-84.56,40.74,90,69,1,fault1
311.94,-219.86,486.77,90,69,1,fault1
136.79,-39.39,32.87,90,69,1,fault1
237.19,-203.47,293.06,90,69,1,fault1
237.33,102.33,293.43,90,69,1,fault1
226.25,-221.42,264.72,90,69,1,fault1
160.75,-0.88,94.97,90,69,1,fault1
302.08,-297.24,461.23,90,69,1,fault1
312.84,79.32,489.10,90,69,1,fault1
167.65,-219.27,112.86,90,69,1,fault1
215.75,-309.29,237.51,90,69,1,fault1
172.60,102.30,125.68,90,69,1,fault1
311.85,-280.41,486.55,90,69,1,fault1
140.25,-297.11,41.85,90,69,1,fault1
188.73,42.07,167.48,90,69,1,fault1
149.31,-69.76,65.33,90,69,1,fault1
248.26,15.39,321.75,90,69,1,fault1
173.57,-255.03,128.19,90,69,1,fault1
242.93,-11.13,307.95,90,69,1,fault1
315.07,-114.49,494.89,90,69,1,fault1
315.78,94.24,496.72,90,69,1,fault1
156.17,75.90,83.11,90,69,1,fault1
302.51,-54.47,462.35,90,69,1,fault1
172.50,67.53,125.41,90,69,1,fault1
226.54,50.30,265.46,90,69,1,fault1
136.62,-219.96,32.45,90,69,1,fault1
210.36,93.70,223.53,90,69,1,fault1
199.57,93.72,195.58,90,69,1,fault1
215.75,102.34,237.52,90,69,1,fault1
274.98,-297.85,390.99,90,69,1,fault1
305.34,52.91,469.67,90,69,1,fault1
242.63,-300.34,307.16,90,69,1,fault1
208.07,-106.86,217.62,90,69,1,fault1
315.05,-264.97,494.85,90,69,1,fault1
145.03,-334.36,54.24,90,69,1,fault1
315.08,-174.63,494.91,90,69,1,fault1
161.73,-306.19,97.51,90,69,1,fault1
275.36,41.00,391.98,90,69,1,fault1
274.36,-161.79,389.40,90,69,1,fault1
237.35,67.63,293.48,90,69,1,fault1
231.88,-300.52,279.32,90,69,1,fault1
198.44,-178.29,192.64,90,69,1,fault1
231.61,-82.37,278.61,90,69,1,fault1
302.02,-361.87,461.07,90,69,1,fault1
225.21,-166.42,262.02,90,69,1,fault1
255.48,-64.54,340.46,90,69,1,fault1
247.84,-256.28,320.66,90,69,1,fault1
248.44,-203.63,322.23,90,69,1,fault1
231.97,24.15,279.53,90,69,1,fault1
236.80,-92.48,292.04,90,69,1,fault1
210.14,-230.77,222.96,90,69,1,fault1
127.26,-54.36,8.19,90,69,1,fault1
221.14,-335.32,251.49,90,69,1,fault1
219.97,-175.69,248.45,90,69,1,fault1
193.99,-165.78,181.13,90,69,1,fault1
291.97,66.27,435.04,90,69,1,fault1
207.20,-139.18,215.35,90,69,1,fault1
411.61,-115.46,48.96,90,54,1,fault2
300.94,48.85,199.54,90,54,1,fault2
411.67,-145.57,48.89,90,54,1,fault2
353.34,-309.53,128.24,90,54,1,fault2
266.19,-275.14,246.81,90,54,1,fault2
293.19,-72.08,210.07,90,54,1,fault2
240.38,-105.79,281.93,90,54,1,fault2
292.98,-283.41,210.36,90,54,1,fault2
303.67,-40.60,195.82,90,54,1,fault2
380.63,-177.01,91.11,90,54,1,fault2
245.30,-56.62,275.23,90,54,1,fault2
342.21,-107.25,143.38,90,54,1,fault2
311.30,-177.75,185.44,90,54,1,fault2
399.08,-302.56,66.01,90,54,1,fault2
418.41,-337.92,39.71,90,54,1,fault2
318.30,48.66,175.91,90,54,1,fault2
266.29,-360.28,246.67,90,54,1,fault2
239.71,-253.19,282.84,90,54,1,fault2
309.70,-334.93,187.61,90,54,1,fault2
326.92,-351.99,164.19,90,54,1,fault2
408.26,-278.23,53.52,90,54,1,fault2
427.02,-70.76,28.00,90,54,1,fault2
254.92,-27.06,262.14,90,54,1,fault2
260.74,-40.15,254.23,90,54,1,fault2
245.18,-116.01,275.40,90,54,1,fault2
427.04,-190.20,27.97,90,54,1,fault2
309.18,-11.98,188.32,90,54,1,fault2
410.14,3.63,50.96,90,54,1,fault2
237.00,51.23,286.52,90,54,1,fault2
427.07,-160.42,27.94,90,54,1,fault2
363.20,-12.24,114.83,90,54,1,fault2
365.64,-130.52,111.51,90,54,1,fault2
292.65,-300.61,210.81,90,54,1,fault2
426.98,-41.06,28.05,90,54,1,fault2
416.67,-353.64,42.08,90,54,1,fault2
353.83,-274.93,127.58,90,54,1,fault2
364.31,-68.77,113.32,90,54,1,fault2
240.27,-125.42,282.08,90,54,1,fault2
240.40,-75.79,281.90,90,54,1,fault2
411.51,-234.33,49.10,90,54,1,fault2
288.10,-56.90,217.00,90,54,1,fault2
247.39,13.32,272.38,90,54,1,fault2
309.60,-57.01,187.76,90,54,1,fault2
241.13,-291.76,280.90,90,54,1,fault2
390.84,-176.47,77.23,90,54,1,fault2
381.53,-24.61,89.88,90,54,1,fault2
365.00,-230.34,112.38,90,54,1,fault2
346.97,-229.50,136.90,90,54,1,fault2
437.32,-130.50,13.98,90,54,1,fault2
266.06,48.33,246.99,90,54,1,fault2
240.22,-323.09,282.15,90,54,1,fault2
370.14,99.55,105.38,90,54,1,fault2
426.64,-11.52,28.52,90,54,1,fault2
316.17,-124.82,178.81,90,54,1,fault2
257.96,-300.39,258.01,90,54,1,fault2
292.27,74.21,211.33,90,54,1,fault2
352.78,-360.53,129.00,90,54,1,fault2
341.18,-91.07,144.78,90,54,1,fault2
273.06,-175.09,237.46,90,54,1,fault2
361.59,91.11,117.01,90,54,1,fault2
240.38,-110.75,281.93,90,54,1,fault2
292.30,-351.94,211.29,90,54,1,fault2
426.73,-249.15,28.39,90,54,1,fault2
437.08,-310.22,14.32,90,54,1,fault2
274.68,23.33,235.26,90,54,1,fault2
371.37,-276.00,103.71,90,54,1,fault2
320.54,-219.15,172.87,90,54,1,fault2
442.36,-264.53,7.13,90,54,1,fault2
239.65,-342.21,282.92,90,54,1,fault2
302.47,-257.33,197.45,90,54,1,fault2
395.79,-69.92,70.48,90,54,1,fault2
427.31,-314.38,27.60,90,54,1,fault2
390.95,-115.27,77.08,90,54,1,fault2
336.11,14.30,151.68,90,54,1,fault2
240.12,-164.28,282.28,90,54,1,fault2
442.37,3.41,7.11,90,54,1,fault2
274.82,-334.70,235.07,90,54,1,fault2
319.55,-202.65,174.21,90,54,1,fault2
380.97,-146.00,90.65,90,54,1,fault2
353.13,48.69,128.52,90,54,1,fault2
328.30,-63.67,162.30,90,54,1,fault2
427.20,-330.93,27.75,90,54,1,fault2
420.90,55.60,36.33,90,54,1,fault2
259.32,-160.53,256.16,90,54,1,fault2
270.88,-218.45,240.42,90,54,1,fault2
371.64,-258.87,103.35,90,54,1,fault2
344.19,91.08,140.69,90,54,1,fault2
271.01,-101.61,240.26,90,54,1,fault2
303.91,-222.56,195.49,90,54,1,fault2
265.92,-325.76,247.17,90,54,1,fault2
346.73,-29.92,137.24,90,54,1,fault2
236.03,-315.35,287.84,90,54,1,fault2
274.72,-10.36,235.20,90,54,1,fault2
255.44,-56.20,261.43,90,54,1,fault2
274.91,74.03,234.95,90,54,1,fault2
283.48,15.12,223.29,90,54,1,fault2
417.46,79.39,41.00,90,54,1,fault2
379.34,-8.56,92.87,90,54,1,fault2
283.63,-326.34,223.08,90,54,1,fault2
391.59,-233.96,76.20,90,54,1,fault2
274.03,-202.07,236.14,90,54,1,fault2
240.38,-9.35,281.92,90,54,1,fault2
257.28,-351.00,258.94,90,54,1,fault2
396.19,-40.43,69.94,90,54,1,fault2
284.97,-257.37,221.26,90,54,1,fault2
389.59,-275.57,78.92,90,54,1,fault2
239.71,28.39,282.83,90,54,1,fault2
437.32,-100.65,13.99,90,54,1,fault2
405.37,-10.61,57.46,90,54,1,fault2
302.78,-104.47,197.02,90,54,1,fault2
239.97,82.94,282.49,90,54,1,fault2
339.91,-200.44,146.52,90,54,1,fault2
300.59,-135.55,200.00,90,54,1,fault2
310.35,-283.32,186.73,90,54,1,fault2
421.77,-262.26,35.14,90,54,1,fault2
249.11,99.40,270.04,90,54,1,fault2
405.82,17.69,56.84,90,54,1,fault2
271.38,-71.22,239.75,90,54,1,fault2
345.95,-12.61,138.29,90,54,1,fault2
244.74,-205.04,275.99,90,54,1,fault2
240.15,-213.13,282.24,90,54,1,fault2
370.68,65.78,104.65,90,54,1,fault2
336.67,-135.83,150.93,90,54,1,fault2
424.02,100.92,32.07,90,54,1,fault2
407.65,69.26,54.36,90,54,1,fault2
350.19,-117.43,132.53,90,54,1,fault2
405.55,-360.76,57.22,90,54,1,fault2
260.07,-220.71,255.14,90,54,1,fault2
352.78,99.55,129.00,90,54,1,fault2
354.48,-257.07,126.69,90,54,1,fault2
236.05,4.63,287.82,90,54,1,fault2
288.26,-222.86,216.79,90,54,1,fault2
256.98,22.25,259.34,90,54,1,fault2
318.35,14.47,175.85,90,54,1,fault2
337.03,-256.22,150.44,90,54,1,fault2
254.37,-205.01,262.89,90,54,1,fault2
344.67,-300.77,140.04,90,54,1,fault2
379.26,-352.13,92.98,90,54,1,fault2
389.18,-327.13,79.48,90,54,1,fault2
327.63,-283.09,163.22,90,54,1,fault2
344.21,-352.03,140.66,90,54,1,fault2
361.62,-352.07,116.98,90,54,1,fault2
236.03,-294.94,287.84,90,54,1,fault2
357.28,-204.11,122.88,90,54,1,fault2
406.40,-100.35,56.05,90,54,1,fault2
291.18,-135.31,212.82,90,54,1,fault2
301.90,-274.70,198.23,90,54,1,fault2
421.68,-234.30,35.26,90,54,1,fault2
237.00,46.22,286.52,90,54,1,fault2
370.57,48.98,104.80,90,54,1,fault2
310.02,-300.67,187.18,90,54,1,fault2
405.48,100.66,57.31,90,54,1,fault2
395.83,-11.66,70.43,90,54,1,fault2
396.22,-160.98,69.90,90,54,1,fault2
338.36,-218.80,148.63,90,54,1,fault2
254.68,-234.66,262.47,90,54,1,fault2
353.60,14.19,127.89,90,54,1,fault2
